Gene ID,Gene Name,Group,Constraint p-value,Pathogenicity p-value,pLoF p-value,Unified Model p-value,Epi25 p-value
ENSG00000010438,PRSS3,DEE,0.9662831027492442,0.1087675851404549,,0.2706447946284002,
ENSG00000010539,ZNF200,DEE,0.7278645601819789,0.1915700793890305,0.3797285892433901,0.4639926974781104,
ENSG00000010610,CD4,DEE,0.6537382019755329,0.685058618609454,0.8317190294945016,0.955386850525756,
ENSG00000010626,LRRC23,DEE,0.2178126565952937,0.9094349096729872,0.4223345628813499,0.5132373050484693,
ENSG00000010704,HFE,DEE,0.778590707014709,0.4466014449999752,0.7072019853643376,0.8520547856889393,
ENSG00000010803,SCMH1,DEE,0.1515301659687435,0.8200563883663216,0.996621944633443,0.5562927546248206,0.06329
ENSG00000010810,FYN,DEE,0.6998230325814285,0.408981247192073,,0.6856663817325398,0.86882
ENSG00000010818,HIVEP2,DEE,0.4768214385766851,0.2234588858314916,0.6172147754180508,0.4527188716536673,0.22958
ENSG00000010932,FMO1,DEE,0.9150824417260308,0.5909067522018125,0.4240771049533126,0.8290444734779213,
ENSG00000011009,LYPLA2,DEE,0.99280048065535,0.6493633229583351,0.5093067855351858,0.8972627680067607,
ENSG00000011021,CLCN6,DEE,0.8632178050306505,0.8734228576015635,0.3945981979437933,0.856142952790556,
ENSG00000011028,MRC2,DEE,0.943732488679668,0.8302140710077368,0.2140549128435555,0.6397308372512582,
ENSG00000011083,SLC6A7,DEE,0.0510780449478418,0.5931678599822305,0.780848254996446,0.24499809241223,
